Group,District,DistName,County,CntyName,Region,RegnName,ERW,Math,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,059901,Hereford ISD,059,Deaf Smith County,16,Amarillo,520,517,1037,<275,<25,4.6,<25,25.0
All Students,060902,Cooper ISD,060,Delta County,08,Mt Pleasant,578,508,1086,<75,<25,8.8,<25,40.0
All Students,061501,University Of North Texas,061,Denton County,11,Fort Worth,715,754,1465,<25,<125,,<125,100
All Students,061901,Denton ISD,061,Denton County,11,Fort Worth,547,531,1078,1657,910,54.9,234,25.7
All Students,061902,Lewisville ISD,061,Denton County,11,Fort Worth,580,579,1159,4099,2653,64.7,1265,47.7
All Students,061903,Pilot Point ISD,061,Denton County,11,Fort Worth,534,516,1050,107,41,38.3,9,22.0
All Students,061905,Krum ISD,061,Denton County,11,Fort Worth,555,528,1083,136,66,48.5,17,25.8
All Students,061906,Ponder ISD,061,Denton County,11,Fort Worth,533,545,1076,84,38,45.2,9,23.7
All Students,061907,Aubrey ISD,061,Denton County,11,Fort Worth,558,564,1122,134,59,44.0,22,37.3
All Students,061908,Sanger ISD,061,Denton County,11,Fort Worth,543,526,1069,152,37,24.3,9,24.3
All Students,061910,Argyle ISD,061,Denton County,11,Fort Worth,588,574,1162,183,117,63.9,51,43.6
All Students,061911,Northwest ISD,061,Denton County,11,Fort Worth,527,521,1048,1351,1298,96.1,323,24.9
